fecha ,id,anio,mes,dia,nombre_mes,dia_semana,anio_mes,semana_anio
2023-01-31,1,2023,1,31,enero,martes,2023-01,5
2023-02-28,2,2023,2,28,febrero,martes,2023-02,9
2023-03-31,3,2023,3,31,marzo,viernes,2023-03,13
2023-04-30,4,2023,4,30,abril,domingo,2023-04,17
2023-05-31,5,2023,5,31,mayo,miércoles,2023-05,22
2023-06-30,6,2023,6,30,junio,viernes,2023-06,26
2023-07-31,7,2023,7,31,julio,lunes,2023-07,31
2023-08-31,8,2023,8,31,agosto,jueves,2023-08,35
2023-09-30,9,2023,9,30,septiembre,sábado,2023-09,39
2023-10-31,10,2023,10,31,octubre,martes,2023-10,44
2023-11-11,11,2023,11,11,noviembre,sábado,2023-11,45
2023-11-30,12,2023,11,30,noviembre,jueves,2023-11,48
2023-12-31,13,2023,12,31,diciembre,domingo,2023-12,52
2024-01-20,14,2024,1,20,enero,sábado,2024-01,3
2024-01-31,15,2024,1,31,enero,miércoles,2024-01,5
2024-02-29,16,2024,2,29,febrero,jueves,2024-02,9
2024-03-31,17,2024,3,31,marzo,domingo,2024-03,13
2024-04-30,18,2024,4,30,abril,martes,2024-04,18
2024-05-31,19,2024,5,31,mayo,viernes,2024-05,22
2024-06-30,20,2024,6,30,junio,domingo,2024-06,26
2024-07-31,21,2024,7,31,julio,miércoles,2024-07,31
2024-08-31,22,2024,8,31,agosto,sábado,2024-08,35
2024-09-30,23,2024,9,30,septiembre,lunes,2024-09,40
2024-10-10,24,2024,10,10,octubre,jueves,2024-10,41
2024-10-31,25,2024,10,31,octubre,jueves,2024-10,44
2024-11-30,26,2024,11,30,noviembre,sábado,2024-11,48
2024-12-05,27,2024,12,5,diciembre,jueves,2024-12,49
2024-12-31,28,2024,12,31,diciembre,martes,2024-12,1
2025-01-10,29,2025,1,10,enero,viernes,2025-01,2
